,Category,Brand,Line Up
0,8,21,0
1,8,21,0
2,8,21,0
3,8,21,0
4,8,21,0
5,8,21,0
6,8,21,0
7,8,21,0
8,4,0,8
9,4,0,8
10,4,0,9
11,4,0,9
12,4,0,9
13,4,0,9
14,4,0,10
15,4,0,10
16,4,0,11
17,4,0,11
18,4,0,11
19,4,0,11
20,4,0,11
21,4,0,11
22,4,0,11
23,4,0,11
24,4,0,13
25,4,0,13
26,4,0,13
27,4,0,13
28,4,0,13
29,4,0,13
30,4,0,13
31,4,0,13
32,4,0,13
33,4,0,13
34,4,0,13
35,4,0,13
36,4,0,13
37,4,0,13
38,4,0,13
39,4,0,14
40,4,0,14
41,4,0,14
42,4,0,14
43,4,0,14
44,4,0,14
45,4,0,14
46,4,0,14
47,4,0,14
48,4,0,14
49,4,0,15
50,4,0,15
51,4,0,15
52,6,1,16
53,6,1,16
54,6,1,16
55,6,1,16
56,6,1,16
57,6,1,16
58,6,1,16
59,6,1,16
60,6,1,16
61,6,1,16
62,6,1,16
63,6,1,16
64,6,1,16
65,6,1,16
66,6,1,16
67,6,1,17
68,6,1,17
69,6,1,17
70,6,1,17
71,6,1,17
72,6,1,17
73,6,1,17
74,6,1,17
75,6,1,17
76,6,1,17
77,6,1,17
78,6,1,17
79,6,1,17
80,6,1,17
81,6,1,17
82,6,1,17
83,6,1,17
84,6,1,17
85,6,1,17
86,6,1,17
87,6,1,17
88,6,1,17
89,6,1,18
90,6,1,18
91,6,1,18
92,6,1,18
93,6,1,18
94,6,1,18
95,6,1,18
96,6,1,18
97,6,1,18
98,6,1,18
99,6,1,18
100,6,1,18
101,6,1,18
102,6,1,18
103,6,1,18
104,6,1,18
105,6,1,18
106,6,1,18
107,6,1,18
108,6,1,18
109,6,1,18
110,6,1,18
111,6,1,18
112,6,1,18
113,6,1,18
114,6,1,19
115,6,1,19
116,6,1,19
117,6,1,19
118,6,1,20
119,6,1,20
120,6,1,20
121,6,1,20
122,6,1,20
123,6,1,20
124,6,1,20
125,6,1,20
126,6,1,20
127,6,1,20
128,6,1,20
129,6,1,20
130,6,1,20
131,6,1,20
132,6,1,20
133,6,1,20
134,6,1,20
135,6,1,20
136,6,1,20
137,6,1,20
138,6,1,20
139,6,1,20
140,6,1,20
141,6,1,22
142,6,1,22
143,6,1,22
144,6,1,22
145,6,1,22
146,6,1,22
147,6,1,22
148,6,1,22
149,6,1,22
150,6,1,22
151,6,1,22
152,6,1,22
153,6,1,22
154,6,1,22
155,6,1,22
156,6,1,22
157,6,1,22
158,6,1,22
159,6,1,22
160,6,1,22
161,6,1,22
162,6,1,23
163,6,1,23
164,6,1,23
165,6,1,23
166,6,1,23
167,6,1,23
168,6,1,23
169,6,1,23
170,6,1,23
171,6,1,23
172,6,1,23
173,6,1,23
174,6,1,23
175,6,1,23
176,6,1,23
177,6,1,23
178,6,1,23
179,6,1,23
180,6,1,23
181,6,1,23
182,6,1,23
183,6,1,23
184,6,1,23
185,6,1,23
186,6,1,23
187,6,1,23
188,6,1,24
189,6,1,24
190,6,1,24
191,6,1,24
192,6,1,25
193,6,1,25
194,6,1,25
195,6,1,25
196,6,1,25
197,6,1,25
198,6,1,25
199,6,1,25
200,6,1,25
201,6,1,25
202,6,1,26
203,6,1,26
204,6,1,26
205,6,1,26
206,6,1,26
207,6,1,26
208,6,1,26
209,6,1,26
210,6,1,26
211,6,1,27
212,6,1,27
213,6,1,27
214,6,1,27
215,6,1,27
216,6,1,27
217,6,1,27
218,6,1,27
219,6,1,27
220,6,1,28
221,6,1,28
222,6,1,28
223,6,1,28
224,6,1,28
225,6,1,28
226,6,1,28
227,6,1,28
228,6,1,28
229,6,1,28
230,6,1,28
231,6,1,28
232,6,1,28
233,6,1,28
234,6,1,28
235,6,1,28
236,6,1,28
237,6,1,28
238,6,1,28
239,6,1,28
240,6,1,28
241,6,1,28
242,6,1,28
243,6,1,29
244,6,1,29
245,6,1,29
246,6,1,29
247,6,1,29
248,6,1,29
249,6,1,29
250,6,1,29
251,6,1,29
252,6,1,29
253,6,1,29
254,6,1,29
255,6,1,29
256,6,1,29
257,6,1,29
258,6,1,29
259,6,1,29
260,6,1,29
261,6,1,29
262,6,1,29
263,6,1,29
264,6,1,29
265,6,1,29
266,6,1,29
267,6,1,29
268,6,1,30
269,6,1,30
270,6,1,30
271,6,1,30
272,6,1,30
273,6,1,30
274,6,1,30
275,6,1,30
276,6,1,30
277,6,1,31
278,6,1,31
279,6,1,31
280,6,1,31
281,6,1,31
282,6,1,32
283,6,1,32
284,6,1,32
285,6,1,32
286,6,1,32
287,6,1,32
288,6,1,32
289,6,1,32
290,6,1,32
291,6,1,32
292,6,1,32
293,6,1,32
294,6,1,32
295,6,1,32
296,6,1,32
297,6,1,32
298,6,1,32
299,6,1,32
300,6,1,32
301,6,1,33
302,6,1,33
303,6,1,33
304,6,1,33
305,6,1,33
306,6,1,33
307,6,1,33
308,6,1,33
309,6,1,33
310,6,1,33
311,6,1,33
312,6,1,33
313,6,1,33
314,6,1,33
315,6,1,33
316,6,1,33
317,6,1,33
318,6,1,33
319,6,1,33
320,6,1,33
321,6,1,33
322,6,1,33
323,6,1,33
324,5,2,34
325,5,2,34
326,5,2,34
327,5,2,34
328,5,2,34
329,5,2,34
330,7,3,35
331,7,3,35
332,7,3,35
333,7,3,35
334,7,3,35
335,7,3,36
336,7,3,36
337,7,3,36
338,7,3,36
339,7,3,36
340,7,3,40
341,7,3,40
342,7,3,40
343,7,3,40
344,7,3,40
345,7,3,42
346,7,3,42
347,7,3,42
348,7,3,42
349,7,3,42
350,7,3,42
351,4,6,48
352,4,6,48
353,4,6,48
354,4,6,48
355,4,6,48
356,4,6,48
357,4,6,50
358,4,6,50
359,4,6,50
360,4,6,50
361,4,6,50
362,4,6,50
363,4,6,50
364,4,6,50
365,4,6,50
366,4,6,50
367,4,6,50
368,4,6,50
369,2,7,52
370,2,7,52
371,2,7,52
372,2,7,52
373,2,7,53
374,2,7,53
375,2,7,53
376,2,7,53
377,2,7,54
378,2,7,55
379,2,7,55
380,2,7,55
381,2,7,55
382,2,7,55
383,2,7,55
384,2,7,56
385,2,7,56
386,2,7,56
387,2,7,56
